sentiment,message,tweetid
2,Climate change: Aboriginal leaders tell Trudeau they want seat at the table - 680 News #trudeau https://t.co/FeiF2KJyed,705400101271937024
2,Climate Change Could Kill Half a Million Annually by 2050 https://t.co/AgV8jIgh6x,705404988122501120
1,3 Ways Climate Change Impacts Our Pets - https://t.co/Qgp9z66U2F,705418718860292096
0,"@marklevinshow Romney is the big conservative. He believes in Global Warming, open borders, amnesty, etc.",705431345967841288
1,Read @IDDPNQL$q$s perspective on decolonising the transition to a sustainable Canada https://t.co/Kc0SbATMA9 #cdnpoli https://t.co/udtoerlhug,705437351472926720
0,"Rick$q$s Rant - Proportional Representation https://t.co/GeCbcfcxmN via @YouTube

$q$its like Darth Vader meeting Ewoks to fight climate change”",705452093469904898
-1,Are Environmentalism and Global Warming Effectively Religious Socialism? https://t.co/9pt67FT5uC,705464251155156992
1,Dipshit https://t.co/q9gqL1lgqO,705471780010512387
1,#FeelTheBern at the polls so the earth doesn$q$t have to feel the burn in its climate! Join the #PoliticalRevolution  https://t.co/6hwW2ohVAx,705478881629884418
2,Scotland’s native insects at severe risk from climate change -... https://t.co/QFeYLBzWw2,705490952945676288
2,RT @DrSeemaM: More than half a million could die as climate change impacts diet – report https://t.co/7A9eWyoYvX,705494455994941441
2,RT @business: Climate change $q$could kill half a million people by 2050$q$ https://t.co/DY8HjHNgf4 https://t.co/W8wB0asYAM,705506840889712640
2,Global and regional health effects of future food production under climate change: a modelling study - The Lancet https://t.co/FcMNN6vqMQ,705517304486858753
0,RT @alexanderchee: After climate change comes climate departure. https://t.co/9SqarwtVH1,705531439501209601
1,#ProudCanadian https://t.co/PeRqUD1gij,705541316554448897
1,"RT @BernieSanders: Politicians who deny climate change is real, despite an overwhelming scientific consensus, are morally bankrupt. #Bernie…",705550272190255104
1,RT @DarthVenn: While you argue who should be Nina Simone this is what$q$s goin on in the world. Polar bears dying from climate change https:/…,705555337424797696
1,RT @thinkprogress: Climate deniers’ favorite temperature dataset just confirmed global warming https://t.co/oBtD1Z53pj https://t.co/sIyMcL6…,705594500404678656
1,YOU NEED THE EPA CLIMATE CHANGE IS FUCKING REAL STOP FUCKING DENYING IT. GOD FUCKING DAMMIT.,705596193804386304
0,found on #fastcompany: This Weather Station On A Bike Records Climate Change At The Local Level https://t.co/0r2JEJjsRX,705602546056962049
1,@StadiumWoods  https://t.co/LfEU8yuQbP,705616633763598336
-1,RT @mopar_oz: Funny how every time Leftists come to power the planet gets warmer!Great excuse for a wealth distributing Carbon TAX https://…,705639506209173504
1,#Cowspiracy was eyeopening. My first -small- step in being more sustainable will be to eat way less meat.  https://t.co/1e5Y8KwL6T,705750532632268800
1,"RT @CanadianPM: I look forward to our #FMM in the fall, where we’ll finalize the pan-Canadian framework on clean growth and climate change.…",705750628832714752
1,"Let Look at Global Warming Potential next College of Energy ,Environment &amp; Sustainability; Petrol,Diesel Morning i discussed a lot ,just",705814604513816577
1,Trump thinks global warming is a hoax perpetrated by the CHINESE! Wtf?!,705826362762895360
1,RT @MazMHussain: Future generations will record while  climate change slowly unraveled civilization society was hanging onto every word of …,705855263924838401
1,My view on: We Can$q$t Rely On Market Forces Alone To Fix Climate Change https://t.co/n5LdPkqqZO,705856583494975488
1,@jeremycorbyn @labourlewis Amazing how many idiots have not one clue about climate change. It$q$s very sad and dangerous.,705875346822922240
1,Will biggest danger from global warming be the change in diets? https://t.co/MlO1SajWR5 https://t.co/VOPgFjV5Ql,705915395455102977
1,RT @350: February just set an absolutely shocking new record for global warming: https://t.co/iM0HZ4ZXCD https://t.co/bcmRjHwWLS,705948377981145088
1,"RT @TheNewDeal: #Bernie2016:
$15 Min. Wage
Medicare For All
Stop Climate Change
Free College
Legalize Marijuana

#KSCaucus
#NECaucus https:…",705965931240026112
2,RT @PopSci: New map highlights areas most vulnerable to climate change https://t.co/hzNUQyqWEw https://t.co/8uXlponpVD,706045932555608064
2,Osama bin Laden lends unwelcome support in fight against climate change https://t.co/TxrCmPaFfi,706073739956334592
1,"RT @ajplus: It$q$s so warm that snow has to be shipped in for the Iditarod, Alaska$q$s annual dog sled race.

Thanks climate change.
https://t.…",706124287476826112
1,RT @dailyleopics: fight him @LeoDiCaprio  https://t.co/YRSxyUqg8D,706138522701467648
0,RT @dimkrushnic: get you a man who can stop global warming https://t.co/j1F16JYgJa,706169557459845120
2,RT @nytimes: A record gas leak in California is threatening Jerry Brown’s image as a climate change hero https://t.co/JfdT4adyVP https://t.…,706181918103048192
2,Research uncovers ‘myths’ behind tech solutions to aviation’s climate change crisis https://t.co/B15kGrCQs7 via @EcoInternet,706201645177135104
1,The Fight To Hear Debate Questions On #Climate Change In A State Struggling With Sea Level Rise https://t.co/8WI9teauWG via @climateprogress,706237148685541376
2,RT @Oceanwire: $q$Fish flick genetic switch to dodge #climate change disaster$q$ https://t.co/XHO7bPG2EU  RT @orbitalclimate @jcu https://t.co/…,706298353936633858
1,#MakeAMovieFeelTheBern #SuperSaturday  https://t.co/oEFjtRMVFf,706314746761449474
1,"RT @SEIclimate: NEW: #Water, #climate change and peace: Lessons from 3 years in #Colombia https://t.co/kkZVBOHRab @MEscobar_Agua https://t.…",706373023910141956
1,RT @BillGates: Millions of the world’s poorest are farmers. They will be hit hardest by climate change: https://t.co/AuEoIj5R4I https://t.c…,706463033648873473
1,RT @350: Why we need action now: world$q$s poorest cities can$q$t cope with climate change https://t.co/KZpEVPRjdF https://t.co/i9OTn67YuJ,706494797847109632
0,#WhenICameBackFromSpace I was found responsible for global warming due to all the methane I released in space,706535401431834624
1,"RT @NextGenClimate: Join the conversation on climate change. Take the pledge &amp; let$q$s talk #50by30.
https://t.co/Kt8L4iK5pI",706559645188362240
0,Stephen Colbert’s Opinion On Climate Change https://t.co/G9s1UPwiqQ,706586478705557504
1,"RT @ColMorrisDavis: GOP: NO closing #Guantanamo, NO Scalia replacement, NO O$q$Care, NO climate change, NO immigrants, NO LGBTs, NO gun regs …",706644226361180160
1,The mercury doesn’t lie: very troubling climate change milestone https://t.co/ytyyBqihS2 @BostonGlobe https://t.co/sbtHTVqiy2,706644377163079681
1,RT @TeenForBernie: THEY$q$RE FINALLY TALKING ABOUT CLIMATE CHANGE! #DemDebate #DebateWithBernie,706670188326948864
1,"RT @GRForSanders: .@BernieSanders does not support fracking and his plan to combat climate change is the strongest.

Here: https://t.co/0uG…",706671803955961856
-1,RT @Live_Beautiful: I hope Bernie Sanders doesn$q$t blame climate change on tax breaks.,706671916078084096
0,"RT @BuckSexton: Fracking, gunmaker liability, climate change, public sector unions- in what country are these the top concerns of normal, s…",706673478208868352
-1,Well no surprise they have deleted all other records that conflict with their #computermodels https://t.co/JJFR1VIbKP,706748078980734976
-1,@Campaign_Trump corrupt Politicians have their fingers in the trough with the UN. Climate Change paying murdering Dictators everywhere!👎,706784416752758785
1,RT @DRTucker: @PeterWSinclair @KHayhoe The Unexpected We Expect: Planning in the Age of Climate Change  https://t.co/Eq9DfFimWZ,706839558621503489
-1,"@mmfa They report on climate change all the time, its called the daily weather news",706842711223996417
2,"Gary Braasch, photographer and climate change activist, dead at 70 https://t.co/oSZIS59ppw",706857956244111361
1,"RT @insideclimate: In the Arctic, Even Climate Change$q$s Tiniest Victims Have Big Impacts https://t.co/kO6EnuW1xh",706868664151252993
1,"RT @ClimateReality: Talk about a current event! El Niño is killing coral reefs &amp; climate change will only make it worse. (@NowThisNews)
htt…",706885463240368128
1,RT @MichaelBruegge: Worrying trend in the British press: columnists instead of environmental correspondents write about climate change http…,706888968613335041
-1,"For #Dems Science doesn$q$t apply to Biology, but it is gravely relevant to mimic those who balk at global warming. https://t.co/gCAonqvv6c",706909468672401408
2,RT @VOANews: African Crops Threatened by Climate Change https://t.co/170PEWzIaA https://t.co/pAxrfAqL4Q,706912956819382272
0,"RT @TheBigBang_: Yes, that$q$s right. Next time someone says global warming is not real, just tell them of that time it delayed your comics. …",706930025619189760
1,"RT @SubRosaMagick: “Global warming is now in overdrive” We just hit a terrible climate milestone
https://t.co/62ubx1qQa9 via @grist #enviro…",706934724653162496
2,"No shortage of storage space for captured CO2, study finds | Climate Home - climate change news https://t.co/MLfmRtSJEL via @ClimateHome",706969114569367552
0,@jimwaterson interesting that it chooses to omit his potentially divisive charity work on climate change,706970907315720194
2,"Alberta set to roll out climate change legislation, details on $3B carbon tax  https://t.co/vttEJu4ZRm via @DeanBennettCP",706987733739302912
2,"RT @ajplus: The Iditarod dogsled race is under way after the city of Anchorage had to import snow due to climate change.

https://t.co/ezAU…",707044648552898560
1,“Global warming is now in overdrive”: We just hit a terrible climate milestone https://t.co/AipddhSGo7,707057817484570624
1,RT @BernieSanders: We can$q$t just take incremental steps to combat climate change. We$q$ve got to be bold because the future of our planet dep…,707215711366549505
2,RT @guardianeco: Barack Obama and Justin Trudeau to join forces on climate change https://t.co/IRHp1ixr7a,707220226400714752
1,"RT @igorvolsky: 59% of GOPers in the House, 70% in the Senate deny consensus that climate change is happening &amp; humans r main cause https:/…",707240086744768514
1,RT @deeRobbs: 21 mayors from Florida join the growing chorus demanding that networks address climate change in pres. debates https://t.co/A…,707287187281154048
1,"@DanProft Guaranteed housing &amp; employment, universal healthcare &amp; income, free public ed, access to transportation, fighting climate change.",707345473762275329
