sentiment,cleaned_message
2,Climate change: Aboriginal leaders tell Trudeau they want seat at the table - 680 News #trudeau
2,Climate Change Could Kill Half a Million Annually by 2050
1,3 Ways Climate Change Impacts Our Pets -
0,"@marklevinshow Romney is the big conservative. He believes in Global Warming, open borders, amnesty, etc."
1,Read @IDDPNQL's perspective on decolonising the transition to a sustainable Canada #cdnpoli
0,Rick's Rant - Proportional Representation via @YouTube 'its like Darth Vader meeting Ewoks to fight climate change”
-1,Are Environmentalism and Global Warming Effectively Religious Socialism?
1,Dipshit
1,#FeelTheBern at the polls so the earth doesn't have to feel the burn in its climate! Join the #PoliticalRevolution
2,Scotland’s native insects at severe risk from climate change -...
2,More than half a million could die as climate change impacts diet – report
2,Climate change 'could kill half a million people by 2050'
2,Global and regional health effects of future food production under climate change: a modelling study - The Lancet
0,After climate change comes climate departure.
1,#ProudCanadian
1,"Politicians who deny climate change is real, despite an overwhelming scientific consensus, are morally bankrupt. #Bernie…"
1,While you argue who should be Nina Simone this is what's goin on in the world. Polar bears dying from climate change
1,Climate deniers’ favorite temperature dataset just confirmed global warming
1,YOU NEED THE EPA CLIMATE CHANGE IS FUCKING REAL STOP FUCKING DENYING IT. GOD FUCKING DAMMIT.
0,found on #fastcompany: This Weather Station On A Bike Records Climate Change At The Local Level
1,@StadiumWoods
-1,Funny how every time Leftists come to power the planet gets warmer!Great excuse for a wealth distributing Carbon TAX
1,#Cowspiracy was eyeopening. My first -small- step in being more sustainable will be to eat way less meat.
1,"I look forward to our #FMM in the fall, where we’ll finalize the pan-Canadian framework on clean growth and climate change.…"
1,"Let Look at Global Warming Potential next College of Energy ,Environment &amp; Sustainability; Petrol,Diesel Morning i discussed a lot ,just"
1,Trump thinks global warming is a hoax perpetrated by the CHINESE! Wtf?!
1,Future generations will record while climate change slowly unraveled civilization society was hanging onto every word of …
1,My view on: We Can't Rely On Market Forces Alone To Fix Climate Change
1,@jeremycorbyn @labourlewis Amazing how many idiots have not one clue about climate change. It's very sad and dangerous.
1,Will biggest danger from global warming be the change in diets?
1,February just set an absolutely shocking new record for global warming:
1,#Bernie2016: $15 Min. Wage Medicare For All Stop Climate Change Free College Legalize Marijuana #KSCaucus #NECaucus
2,New map highlights areas most vulnerable to climate change
2,Osama bin Laden lends unwelcome support in fight against climate change
1,"It's so warm that snow has to be shipped in for the Iditarod, Alaska's annual dog sled race. Thanks climate change."
1,fight him @LeoDiCaprio
0,get you a man who can stop global warming
2,A record gas leak in California is threatening Jerry Brown’s image as a climate change hero
2,Research uncovers ‘myths’ behind tech solutions to aviation’s climate change crisis via @EcoInternet
1,The Fight To Hear Debate Questions On #Climate Change In A State Struggling With Sea Level Rise via @climateprogress
2,'Fish flick genetic switch to dodge #climate change disaster' RT @orbitalclimate @jcu
1,#MakeAMovieFeelTheBern #SuperSaturday
1,"NEW: #Water, #climate change and peace: Lessons from 3 years in #Colombia @MEscobar_Agua"
1,Millions of the world’s poorest are farmers. They will be hit hardest by climate change:
1,Why we need action now: world's poorest cities can't cope with climate change
0,#WhenICameBackFromSpace I was found responsible for global warming due to all the methane I released in space
1,Join the conversation on climate change. Take the pledge &amp; let's talk #50by30.
0,Stephen Colbert’s Opinion On Climate Change
1,"GOP: NO closing #Guantanamo, NO Scalia replacement, NO O'Care, NO climate change, NO immigrants, NO LGBTs, NO gun regs …"
1,The mercury doesn’t lie: very troubling climate change milestone @BostonGlobe
1,THEY'RE FINALLY TALKING ABOUT CLIMATE CHANGE! #DemDebate #DebateWithBernie
1,.@BernieSanders does not support fracking and his plan to combat climate change is the strongest. Here:
-1,I hope Bernie Sanders doesn't blame climate change on tax breaks.
0,"Fracking, gunmaker liability, climate change, public sector unions- in what country are these the top concerns of normal, s…"
-1,Well no surprise they have deleted all other records that conflict with their #computermodels
-1,@Campaign_Trump corrupt Politicians have their fingers in the trough with the UN. Climate Change paying murdering Dictators everywhere!👎
1,@PeterWSinclair @KHayhoe The Unexpected We Expect: Planning in the Age of Climate Change
-1,"@mmfa They report on climate change all the time, its called the daily weather news"
2,"Gary Braasch, photographer and climate change activist, dead at 70"
1,"In the Arctic, Even Climate Change's Tiniest Victims Have Big Impacts"
1,Talk about a current event! El Niño is killing coral reefs &amp; climate change will only make it worse. (@NowThisNews) htt…
1,Worrying trend in the British press: columnists instead of environmental correspondents write about climate change
-1,"For #Dems Science doesn't apply to Biology, but it is gravely relevant to mimic those who balk at global warming."
2,African Crops Threatened by Climate Change
0,"Yes, that's right. Next time someone says global warming is not real, just tell them of that time it delayed your comics. …"
1,“Global warming is now in overdrive” We just hit a terrible climate milestone via @grist #enviro…
2,"No shortage of storage space for captured CO2, study finds | Climate Home - climate change news via @ClimateHome"
0,@jimwaterson interesting that it chooses to omit his potentially divisive charity work on climate change
2,"Alberta set to roll out climate change legislation, details on $3B carbon tax via @DeanBennettCP"
2,The Iditarod dogsled race is under way after the city of Anchorage had to import snow due to climate change.
1,“Global warming is now in overdrive”: We just hit a terrible climate milestone
1,We can't just take incremental steps to combat climate change. We've got to be bold because the future of our planet dep…
2,Barack Obama and Justin Trudeau to join forces on climate change
1,"59% of GOPers in the House, 70% in the Senate deny consensus that climate change is happening &amp; humans r main cause"
1,21 mayors from Florida join the growing chorus demanding that networks address climate change in pres. debates
1,"@DanProft Guaranteed housing &amp; employment, universal healthcare &amp; income, free public ed, access to transportation, fighting climate change."
