11 - 11.3K

"sentiment","message","tweetid"
1,"Throw on floor of congress to definitively disprove those pesky 'global warming' acts #AlternateUsesForSnow",810232129674059776
1,"For California, fighting climate change is good for the environment and the economy #SB32",810236092070903808
1,"Nations be damned, world's cities can fight #climate change | #globalwarming",810236181720002562
1,"I truly support and respect you, but I have one issue. You can't keep denying climate change please I'm begging you.",810236184504967168
0,"look how red that area is, take cover reds! and while you're in there with the power out, read some books on climate change",810241238561648640
1,"to be fair climate change is basically the human race wiping itself out",810263155439964161
1,"Unpresidential, Un-good for the planet, Unbelieving in climate change, Trump. Is that what you mean ?",810266008267018240
0,"I blame global warming and something about gay wedding cakes.",810267154650189824
-1,"To be fair, has made a fortune pushing his global warming scam. Leo may be on to something.",810268103653388288
0,"I was going to make a joke about Bizarro not being a climate change denier, but I guess he would be, wouldn't he?",810269309654237189
1,"How do you talk to kids about climate change? collects tips from scientists, activists, and more.",810274595605385216
1,"Do people know that stuff like this is a huge indicator of global warming? Lol",810286366508646400
1,"#ClimateScience On Sunday, #Trump falsely claimed (another lie) that “nobody really knows” if climate change is hap",810286480937676800
0,"Schnee Frostina went to town, global warming melted down,froze again another day. Gender ambiguity: please use 'Sch",810301586736107520
-1,"Hey Al Gore what the hell happened to global warming? We're going into an ice age U lying prick. How much R U worth",810309763598721024
1,"possible drone is simply weather-related data collector, so he doesn't want back because climate change is 'hoax from China.'",810309869169479680
1,"Real talk England. The north used to snow at Christmas, and now it floods. It's insane to think climate change isn't involved.",810319830532444160
0,"not for nothing but timmy turner invented global warming",810330519015723008
1,"I swear I will never scoff at global warming again, please just let the temperature fall below 60",810331695480184832
1,"youre a dumbass if you dont believe in climate change. this shit is happening fast unless this generation does something ab",810343378907000833
1,"Yet some will point to the cold as proof that climate change isn't real smh",810344494302371840
1,"DNC Chair candidate says 'we must confront climate change together,' but endorses a gas station billi",810369091827535872
0,"They make planetary climate change. Proud people.",810370082459287552
0,"Imagine if there was a climate change and Singapore starts to be cold.",810375555883249665
1,"losing hope? No. Just realigning thought. We have to save humanity, not the planet. What'll help us survive climate change?",810398070496063490
1,"I just uttered the words 'im cold' during an Australian summer climate change is real",810407694762786817
1,"Reindeer are shrinking because of climate change #charlesmilander",810412848329396225
