input_text,target_text
"Summarize the opinions of users who skeptical of/deny climate change.:
- Michael Man would call black white if that helped his wacko global warming/coming ice age/climate change/we…
- When someone behind doesn't want to go to class because they might 'talk about something stupid and controversial... Like climate change'
- Watched this climate change documentary with leonardo di caprio. Zero science all emotion. Conclusion. Taxes.
- How the World was Deceived about Global Warming and Climate Change
- Hey nerds answer this. if global warming is warming up the planet how comes it still gets cold?","Users argue that the public has been deceived about climate change, claiming that documentaries on the subject rely on emotion rather than science to justify higher taxes."
"Summarize the opinions of users who believe in the reality of climate change.:
- Today is #WorldWetlandsDay! Wetlands are so important in reducing the effects of climate change and building a sustainable…
- A new book ranks the top 100 solutions to climate change.
- David Bookbinder in : Obama had a chance to really fight climate change, and he blew it
- If humanity wakes up and survives climate change, Trump's deserved legacy will be the exact opposite of his own deluded sense of self.
- Great article by on why we need to change how we communicate climate change.
- The Coca Cola Polar Bear is a blatant promotion of climate change denial and heteronormative parenting.
- Nature: the decisive solution for the climate change crisis
- 3) his followers don't believe in climate change so of course they'd pick the more obscene option","People discuss various solutions to climate change, from wetlands to political communication, while criticizing past and present leadership for inaction."
"Summarize the opinions of users who believe in the reality of climate change.:
- You need to understand climate change is fact not fiction
- We introduced the first climate change legislation- We are the real Green Party. #rtept #leadersdebate #ge16",People maintain that climate change is a factual reality and advocate for legislative action to solidify environmental protection as a core governmental priority.
"Summarize the opinions of users who believe in the reality of climate change.:
- The United States of climate change denial
- Idk what global warning is but global warming is real
- As temperatures rise globally because of climate change, warm winters are causing trouble for farmers.
- John Kasich Actually Believes in Climate Change. But He Doesn't Want to Fix It. - Huffington Post
- its not the democrats who invented climate change.its established by scientists of all parties.muppet
- Global temperature development, here 2016 included. Getting harder to deny man-made climate change",People highlight the growing evidence of climate change affecting agriculture and criticize the politicization of the issue in the US.
"Summarize the opinions of users who skeptical of/deny climate change.:
- I went outside today and it was quite chilly! What happened to so-called global warming? It just local warming? #JustAsking #Science #MAGA
- NOBODY SAYS THERE's NO CLIMATE CHANGE. it's man-made global warming that's the junk science. STOP LYING.
- SHUT UP joy....climate change is a hoax & if ur dumb enuf believe its a problem...ur really stupid #ClimateChangeHOAX
- Weren't we all supposed to have drowned from global warming like 10 years ago or something? #EndClimateHysteria
- and I thought Obama said climate change was the biggest threat to the planet. #dumbassinchief
- if global warming is real why change the name to climate change? The weather changes naturally doesn't it?
- Researching climate change or anything else isn't the issue. Being subservient to a UN mega treaty IS the issue.
- It appears from this map, evidence of global warming occurs mostly in liberal regions of the country. Hmmm.","People dismiss man-made global warming as 'junk science' and a 'hoax' intended to force subservience to international treaties, noting that weather changes naturally over time."
"Summarize the opinions of users who skeptical of/deny climate change.:
- Pine beetles not from climate change.
- There is no such thing as climate change the world has been hotter and colder, this is combined scare ta…
- When will liberals finally agreeing that ISIS is a bigger threat than climate change?
- u must not understand that global warming is just a theory. Never been proved",Users argue that global warming is an unproven theory and that current environmental changes are natural variations rather than human-caused.
"Summarize the opinions of users who skeptical of/deny climate change.:
- I love that Trump doesn't bow to the 'climate change' lies that these democrats push on their gullible followers. #ClimateC…
- Jay Weatherill and Josh Frydenberg both ignore that renewables is a scam based on climate change fake science fraud
- The next hurricane to hit US will be climate change related because the media will say so. And they're never wrong.","People characterize climate change as fake science or a fraud pushed by political agendas, expressing skepticism toward the media's tendency to link hurricanes to global warming."
"Summarize the opinions of users who believe in the reality of climate change.:
- Climate change is forcing polar bears to swim for days to find solid ground
- Three Smart Ways Design Can Help Fight Climate Change
- Wait so people are mad at Bill Nye for saying that climate change deniers are bad","Users highlight the impact of climate change on wildlife and support using design to address the crisis, while defending those who speak out against deniers."
"Summarize the opinions of users who believe in the reality of climate change.:
- Repeat after me: Carbon pollution is causing climate change
- Even #Exxon with his tainted history on #climate change asks Trump not to ditch Paris climate deal - Mar. 29, 2017
- 2017: climate change is a real issue, also I can make the poop emoji mimic my facial expressions. #AppleEvent
- Obama wanted to fight climate change. #Trump just wants to fight Obama.
- in bio & most of the class is either slightly or less concerned about climate change?? like ya'll ain't worried about us drowning??
- There's nothing stopping climate change deniers from using Google AdWords
- There is overwhelming consensus that climate change is happening and that humans are contributing, .
- In Trump budget briefing, 'climate change musical' is cited as tax waste. Wait, what?
- We are rapidly approaching the tipping point beyond which climate change may become irreversible. KA
- What convinced these scientists climate change is real?",People underscore the overwhelming scientific consensus that human-contributed carbon pollution is driving the planet toward an irreversible tipping point.
"Summarize the opinions of users who skeptical of/deny climate change.:
- Hollywood Leftwing Fanatic, Robert De Niro, takes aim at Trump and America as a backward country for its climate change p…
- Yeah, about that global warming...🤔
- Can you trust the guy offering $25,000 for proof global warming is real?
- Are these 'scientists' the same ones that promulgated global warming and climate change? Pbbbbbbtttttttt ��","People express skepticism toward climate change scientists and mock public figures who criticize national policy, suggesting the entire movement is based on untrustworthy proof."
