sentiment,text,sentiment_label,timestamp,platform,geolocation,label,predicted_label,predicted_sentiment,prob_negative,prob_neutral,prob_positive,confidence,sentiment_score
1,'ExxonMobil has a long history of peddling misinformation on climate change.' in #ExxonKnew,Positive,2024-05-22 19:00:00,Twitter,Unknown,2,2,Positive,0.00016699694,0.000502837,0.99933016,0.99933016,0.99916315
1,Failure to address global warming will cost many lives #economics,Positive,2026-03-24 22:00:00,Twitter,Unknown,2,2,Positive,0.00022584638,0.0002564924,0.9995177,0.9995177,0.99929184
-1,ASherry1979AD: #ThingsJesusNeverSaid please spray is with #chemtrails cos of fake global warming,Negative,2026-02-10 04:00:00,Twitter,Unknown,0,0,Negative,0.99589527,0.002476504,0.0016282866,0.99589527,-0.994267
1,Great article by today on climate change and some inaction by #yqrcc and #yqr,Positive,2026-04-04 09:00:00,Twitter,Unknown,2,2,Positive,0.00017612979,0.00039240118,0.99943143,0.99943143,0.9992553
1,"Need an example of hypocrisy? This is from a man who denies climate change, eliminates environmental regulations, and pâ€¦",Positive,2025-10-16 20:00:00,Twitter,Unknown,2,2,Positive,0.00020148167,0.00034170237,0.9994568,0.9994568,0.99925536
0,Lets use those fidgit spinnas to spin the earth the opposite way and reverse global warming,Neutral,2025-01-21 16:00:00,Twitter,Unknown,1,1,Neutral,0.16692168,0.824117,0.008961288,0.824117,-0.15796039
1,"To help understand how extreme this is, even *North Korea* signed on to the Paris agreement on climate change.",Positive,2024-07-15 18:00:00,Twitter,Unknown,2,2,Positive,0.0003153272,0.00063281175,0.99905187,0.99905187,0.99873656
0,"confirms the withdrawal from Paris Agreement. He says it's not the climate change, it's just weather. ��",Neutral,2025-01-03 05:00:00,Twitter,Unknown,1,1,Neutral,0.0051791086,0.9919797,0.0028410964,0.9919797,-0.0023380122
1,"Climate Change Brought the Rains, Our 'Development' Brought the Chaos via",Positive,2026-03-21 04:00:00,Twitter,Unknown,2,1,Neutral,0.48903656,0.49295902,0.018004425,0.49295902,-0.47103214
1,"So I've seen flooding, snow and now ice. Sure.. global warming is not real at all. I mean this is perfectly normalâ€¦",Positive,2025-07-13 16:00:00,Twitter,Unknown,2,2,Positive,0.0049374807,0.0023436823,0.9927188,0.9927188,0.98778135
0,Have you studied the effects of flag burning on global warming ? Asking for a friend,Neutral,2024-04-22 16:00:00,Twitter,Unknown,1,1,Neutral,0.00045477765,0.9950566,0.004488555,0.9950566,0.004033777
1,"Leftie cities want to fight climate change, but won't take the most obvious step to do it.",Positive,2025-01-26 04:00:00,Twitter,Unknown,2,0,Negative,0.5329449,0.10736572,0.35968935,0.5329449,-0.17325556
0,Imagine if there was a climate change and Singapore starts to be cold.,Neutral,2024-05-25 02:00:00,Twitter,Unknown,1,1,Neutral,0.007142312,0.9918426,0.0010150913,0.9918426,-0.0061272206
1,NY Attorney General uncovers email alias used by Rex Tillerson to discuss climate change at Exxon #ExxonKnew,Positive,2024-09-18 13:00:00,Twitter,Unknown,2,2,Positive,0.00053835154,0.0009094422,0.99855214,0.99855214,0.9980138
1,"improve living conditions, and solve climate change, then I think we are onto a winner- President #EmergingPV",Positive,2025-01-28 19:00:00,Twitter,Unknown,2,2,Positive,0.00018725391,0.00066215487,0.99915063,0.99915063,0.99896336
1,"Um, OK. What do you think about climate change? Why not speak out against Republican denials of sciencâ€¦",Positive,2025-07-24 00:00:00,Twitter,Unknown,2,2,Positive,0.00013759392,0.00048691596,0.9993755,0.9993755,0.99923795
1,How will climate change affect the future of the planet? Scientists predict it will be nothing short of a nightmare.,Positive,2024-10-17 02:00:00,Twitter,Unknown,2,2,Positive,0.00018614483,0.00030404713,0.9995098,0.9995098,0.99932367
0,It is 80 degrees in #November if this is global warming I’ll take it! ☀️ #Nashville,Neutral,2026-03-04 20:00:00,Twitter,Unknown,1,1,Neutral,0.032080144,0.8420986,0.12582125,0.8420986,0.093741104
1,Does the new Democratic Party platform go far enough in addressing climate change?,Positive,2026-05-20 17:00:00,Twitter,Unknown,2,2,Positive,0.00014317203,0.0010743148,0.9987826,0.9987826,0.9986394
1,"Harvest the sun during drought and the rain during floods, flow with the current of climate change.",Positive,2024-01-14 23:00:00,Twitter,Unknown,2,2,Positive,0.0007304238,0.0051052403,0.9941644,0.9941644,0.993434
0,now that Obamacare is about gone. Obama basically didnt accomplish much just us in more debt and no climate change policy and #Trump.,Neutral,2024-12-10 15:00:00,Twitter,Unknown,1,2,Positive,0.006373677,0.25691473,0.7367116,0.7367116,0.7303379
1,Donald Trump thinks climate change is a hoax created by the Chinese. Unbelievable. #DebateWithBernie,Positive,2026-06-12 15:00:00,Twitter,Unknown,2,2,Positive,0.00020270681,0.00043231377,0.99936503,0.99936503,0.9991623
1,"Unchecked climate change will lead to immense suffering- avoidable, if we do our part. #TellGOP via",Positive,2026-02-17 19:00:00,Twitter,Unknown,2,2,Positive,0.00029400416,0.00031114687,0.9993949,0.9993949,0.99910086
1,Vatican urges Trump to reconsider #climate change position #ActOnClimate #Pope,Positive,2024-10-26 08:00:00,Twitter,Unknown,2,2,Positive,0.00020973009,0.00030388928,0.9994863,0.9994863,0.9992766
-1,no such thing as climate change,Negative,2026-04-14 02:00:00,Twitter,Unknown,0,0,Negative,0.9758994,0.019046234,0.005054295,0.9758994,-0.9708451
1,James Lovelock: 'enjoy life while you can: in 20 years global warming will hit the fan'#environment #climatechange,Positive,2024-11-03 15:00:00,Twitter,Unknown,2,2,Positive,0.00017634971,0.0007463012,0.9990773,0.9990773,0.99890095
1,children's commitments include addressing climate change,Positive,2025-07-01 06:00:00,Twitter,Unknown,2,2,Positive,0.00012814473,0.00049572374,0.9993761,0.9993761,0.99924797
1,The planet just had its hottest 4 years in recorded history. Trump is dismantling efforts to fight climate change. €¦,Positive,2025-08-22 14:00:00,Twitter,Unknown,2,2,Positive,0.00018799373,0.00027386597,0.9995382,0.9995382,0.9993502
1,"Big snowfall, a cooler ocean and, yet, more signs of global warming",Positive,2025-09-17 12:00:00,Twitter,Unknown,2,2,Positive,0.00039089943,0.0012410656,0.9983681,0.9983681,0.9979772
0,"When you let fear in, evil will be along soon too in form of global warming, climate change, clean air & energy, & ocean 'acid' lies. #waleg",Neutral,2024-04-10 06:00:00,Twitter,Unknown,1,0,Negative,0.99679035,0.0010148196,0.0021948656,0.99679035,-0.99459547
