"sentiment","message","tweetid"
1,"I can't believe people still don't believe in climate change. It's science.",793156261860618241
-1,"Climate change is an interesting hustle; the planet stopped warming for 15 years.",792927353886371840
-1,"They couldn't predict tomorrow's weather in a 4-month heat wave, yet we trust them on climate change!",793135386558070785
1,"Global warming is real. Something isn't right with the unusually warm weather.",793141154657239040
1,"Not believing in global warming is like opposing peace but expecting the world to be peaceful.",793166227661172736
1,"We are doomed if we do not act. Fixing climate change is our future.",793167169177649152
1,"We just entered an alarming 'new era' of global warming",793171126775984129
1,"global warming real as hell. told us. keep trying to tell us. its 82 degrees and its halloween.",793171794907664384
1,"I swear if it's 80 degrees on Christmas again I will personally defeat global warming. Revenge is a dish best-served cold",793174254611070976
1,"Y'all still don't believe in global warming SMH",793194502538268672
-1,"you do understand that climate change is natural, not necessarily caused by humans. It snowed in Miami, and the Atlantic froze",793195493568413696
1,"The human cost of climate change is too high. We need to get off fossil fuels and on to renewable energy by 2030 if we hope",793196617402679296
1,"Is this who we really want to be? A nation with a leader who promotes anti-climate change?",793180225093898240
1,"Im constantly on the verge of a climate change rampage. WE ARE KILLING EARTH PEOPLE WAKE UP",793212518965518336
1,"Stop with the global climate change, put your efforts toward selling the sizzel EV's and PV's the key is more homes with solar",793227585450872832
1,"Before the Flood wasn't perfect documentary but it got the message right: America isn't doing enough to fight climate change",793230456875544576
1,"Clean energy proves there are real, solid solutions to climate change that make economic sense!",793233407845265408
1,"Florida you need Dems in office to get things done with climate change! #VoteBlueNoMatter",793239188665622528
1,"Fuck all the people who don't believe in global warming it's real and we need to actually pay attention to it",793250758699253760
1,"If scientists can't convince the US that climate change is real, how can its citizens convince each other to change?",793251559421468672
1,"Will do further research on this and get back to you. Still even with this, climate change is real & so is science.",793253805035032576
1,"This whole global warming thing really is unfortunate...",793257968074526720
1,"So that's why we have summer weather in fall right? And people say global warming doesn't exist.",793269957249339394
1,"That's crazy that some politicians still don't believe in global warming.",793272751041765376
1,"I doubt this would work. Plus it added more to existing pollution levels and worsened global warming.",793273366580834304
1,"It's almost 90 degrees outside on Halloween and some of y'all are still denying the legitimacy of global warming.",793276892124160001
1,"When you know this unusually warm weather in October is due to global warming and climate change but you still kind of deny it.",793278603530207232
1,"Remember when Trump bragged about committing sexual assault, disregarded the Geneva conventions, and called climate change a hoax?",793267301172801538
1,"I'm not even ready to watch Before the Flood bc it's gonna make me hella emotional & angry at people for not caring about global warming",793282349416972288
-1,"Why don't you fucking global warming idiots just go away,! Get a real job for a change'.",793283530486874112
1,"Watching Bill Nye the Science Guy special on climate change. One dude just leaves us 15 more years to survive. Doomed",793285466627813376
